creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
alligator,,202,0,4,None,None,32.2,25-35,5-10,0-0,5-10,0-0,45-60,45-65,0-0,75-100,5-25,10-20,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,47.1,,,,,,,5-15,1-4,,,,,,,
allosaurus,,1290,0,4,Dinosaur-Eodon,Myrmidex,160,65-75,55-65,65-75,90-100,55-65,45-60,45-65,0-0,75-100,5-25,10-20,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
anchisaur,,1292,0,4,Dinosaur-Eodon,Myrmidex,160,0-5,0-5,0-5,0-5,0-5,45-60,45-65,0-0,75-100,5-25,10-20,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ancient lich,IsAncientLich,78,0,4,Undead-Mage,Repond,135.9,55-65,25-30,50-60,50-60,25-30,560-595,95-115,965-1045,215-305,95-115,965-1045,75-100,90-100,175-200,0-0,0-0,0-0,120-130,125-130,100-105,,,,,,,,,,,,,,,,
ancient lich renowned,,78,0,4,Undead,Repond,160,55-65,25-30,50-60,50-60,25-30,2240-2310,100-110,1000-1025,275-300,100-110,1000-1025,80-100,90-100,185-190,0-0,0-0,0-0,125-130,125-130,100-105,,,,true,,,,,,,,,,,,
ancient wyrm,,46,0,4,Reptile-Dragon,Arachnid,131.4,65-75,80-90,70-80,60-70,60-70,1340-1390,85-175,920-1030,1255-1385,85-175,920-1030,105-115,110-130,110-125,0-0,0-0,0-0,105-115,105-115,60-70,,,,,,,,,,,,,,,,
angered spirit,,153,0,4,Undead,Repond,90,63-63,51-51,35-35,44-44,51-51,186-186,85-85,43-43,118-118,65-65,33-33,130-130,120.4-120.4,130-130,120.4-120.4,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
animated weapon (summoned),,692,0,7,None,None,74.2,40-50,30-40,30-40,100-100,20-30,40-215,30-140,30-30,100-140,20-20,10-10,80-130,0-20,80-130,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
anlorlem,,152,2069-2070-2071,7,Demon-Arachnid,Elemental-Fey-Reptile,148.6,40-55,30-45,30-45,100-100,30-45,325-400,630-780,820-900,640-760,630-780,820-900,35-100,35-100,10-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
anlorvaglem,,316,2069-2070-2071,7,Demon-Elemental,Elemental-Fey-Demon,160,30-60,30-60,30-60,100-100,30-60,3040-3560,1000-1200,1000-1200,1000-2000,1000-1200,1000-1200,50-100,50-100,50-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
anlorzen,,11,2069-2070-2071,7,Demon-Arachnid,Elemental-Fey-Reptile,126.7,45-55,35-45,35-45,100-100,35-45,325-390,630-780,820-900,640-760,630-780,820-900,35-65,35-65,10-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
anon the mage,,400,SkinHue,7,None,None,160,65-70,65-70,65-70,65-70,65-70,9500-10000,100-125,800-900,150-200,100-200,175-200,220-240,100-125,120-140,0-0,0-0,0-0,110-120,120-130,100-110,,,,true,,,,,,,,,,,,
ant lion,,787,0,4,None,None,77.8,45-60,25-35,30-40,40-50,30-35,150-165,80-105,35-60,295-320,80-105,35-60,90-90,90-90,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
anzuanord,,74,2069-2070-2071,7,Demon,Elemental-Fey,Immune,0-30,0-30,0-30,0-30,100-100,130-260,900-1050,900-1050,580-720,900-1050,900-1050,40-50,40-50,30-50,0-0,0-0,0-0,70-85,70-85,0-30,,,,,,,,,,,,,,,,
arcane daemon,,784,0,4,Demon,Elemental-Fey,88,50-60,70-80,10-20,50-60,30-40,100-115,125-145,300-350,130-150,125-145,300-350,60-80,70-80,85-95,0-0,0-0,0-0,80-90,75-80,70-80,,,,,,,,,,,,,,,,
archaeosaurus,,1287,0,4,Dinosaur-Eodon,Myrmidex,160,0-5,0-5,0-5,0-5,0-5,45-60,45-65,0-0,75-100,5-25,10-20,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
archdemon,,40,1755,4,Demon,Elemental-Fey,108.5,50-60,50-60,30-40,20-30,30-40,390-400,90-100,300-330,480-500,90-100,300-330,70-80,120-130,100-110,0-0,0-0,0-0,110-120,100-115,90-105,,,,,,,,,,,,,,,,
arctic ogre lord,,135,0,4,Repond-Ogre,Undead,88.8,45-55,-10-0,60-70,100-100,40-50,475-555,65-75,45-70,765-945,65-75,45-70,90-100,90-100,125-140,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bake kitsune legacy,,246,0,4,Wolf,None,95.5,40-60,70-90,40-60,40-60,40-60,301-350,125-145,375-425,170-220,125-145,375-425,50-55,70-90,80-100,0-0,0-0,0-0,80-90,85-90,85-95,80.7,,,,,,1150005-1002106,15-22,2-5,,,true,,,,
bake kitsune,,246,0,4,Wolf,None,95.5,40-60,70-90,40-60,40-60,40-60,301-350,125-145,375-425,170-220,125-145,375-425,50-55,70-90,80-100,0-0,0-0,0-0,80-90,85-90,85-95,80.7,,,,,,1150005-1002106,15-22,3-5,,,true,,,,
ballem,,792,2069-2070-2071,7,Demon,Elemental-Fey,123.7,20-50,20-50,20-50,100-100,20-50,430-600,980-1120,240-300,930-1150,980-1120,240-300,60-85,50-90,60-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
balron,IsBalron,40,0,4,Demon,Elemental-Fey,114.5,65-80,60-80,50-60,100-100,40-50,590-715,175-255,150-250,985-1185,175-255,150-250,90-100,90-100,100-150,25-50,0-0,0-0,95-100,95-100,25-50,,,,,,,,,,,,,,,,
bane chosen guard,IsBaneChosenGuard,309,,4,Demon,Elemental-Fey,130,75-75,65-65,65-65,75-75,70-70,8500-8500,150-150,1000-1000,1250-1250,150-150,175-175,125-125,125-125,110-110,125-125,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bane dragon,,794,1175-33943,7,Reptile-Dragon,Arachnid,102.5,60-70,40-50,35-45,50-60,20-40,551-650,95-130,88-165,495-552,88-125,88-165,90-100,100-110,90-95,0-0,0-0,0-0,35-45,35-45,0-0,107.1,,,,true,,1002106,20-26,3-5,,,true,,,,
the piper,,400-42,33772,7,Repond-Vermin,Undead,160,60-70,50-60,50-60,40-50,40-50,4200-4200,100-300,505-750,305-425,70-150,505-750,95-100,95-100,100-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
battle chicken lizard,,716,0,4,Reptile,Arachnid,36,15-20,5-15,0-0,0-0,0-0,75-90,75-125,5-10,200-200,75-125,5-10,25-40,30-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,0,,,,,,,4-7,1-1,,,,,,,
betballem,,776,2069-2070-2071,7,Demon,Elemental-Fey,86.8,10-40,15-25,20-35,15-35,100-100,155-220,895-970,65-75,205-280,895-970,65-75,25-40,20-30,25-45,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
betrayer,,767,0,7,None,None,96.5,60-70,60-70,60-70,30-40,20-30,240-300,80-100,150-200,400-500,80-100,150-200,90-100,90-100,120-130,90-100,0-0,0-0,50-100,95-100,90-100,,,,,,,,,,,,,,,,
bird,IsBird,6,BirdHue-BirdHue2,4,Bird,None,4.6,0-0,0-0,0-0,0-0,0-0,0-0,25-25,0-0,0-0,25-25,0-0,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,-6.9,,,,,,,0-0,1-2,,true,,,,,
black bear,,211,0,4,Bear,None,31,20-25,0-0,10-15,5-10,0-0,45-60,55-75,0-0,75-100,55-75,10-15,40-60,40-60,20-40,0-0,0-0,0-0,0-0,0-0,0-0,35.1,,,,,,,4-10,1-3,,true,,,,,
black order assassin,,400-401,SkinHue,7,None,None,Immune,65-75,50-60,55-60,30-50,30-50,440-460,160-175,160-175,440-460,160-175,160-175,90-100,90-100,0-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black order high executioner,,400-401,SkinHue,7,None,None,Immune,65-75,50-55,55-60,30-50,30-50,800-800,190-205,160-175,540-560,160-175,160-175,90-100,90-100,0-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black order mage,,400-401,SkinHue,7,None,None,Immune,40-50,30-50,55-60,50-60,60-70,600-615,200-215,400-415,340-360,200-215,400-415,90-100,90-100,90-100,0-0,0-0,0-0,90-100,90-100,50-60,,,,,,,,,,,,,,,,
black order thief,,400-401,SkinHue,7,None,None,Immune,45-65,60-70,55-60,30-40,30-50,800-815,400-415,200-215,340-360,400-415,200-215,90-100,90-100,40-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black solen infiltrator queen,,807,1107,4,None,None,82.6,30-40,30-35,25-35,35-40,25-30,150-165,140-165,95-120,325-350,140-165,95-120,90-90,90-90,90-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black solen infiltrator warrior,,806,1107,4,None,None,74.2,20-35,20-35,10-25,20-35,10-25,95-110,120-145,65-90,205-230,120-145,65-90,80-80,80-80,80-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black solen queen,,807,1107,4,None,None,79.6,30-40,30-35,25-35,35-40,25-30,150-165,120-145,75-100,295-320,120-145,75-100,90-90,90-90,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black solen warrior,,806,1107,4,None,None,72.9,20-35,20-35,10-25,20-35,10-25,95-110,100-125,35-60,195-220,100-125,35-60,80-80,80-80,60-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
black solen worker,,805,1107,4,None,None,58.3,25-30,20-30,10-20,10-20,20-30,55-75,80-105,35-60,95-120,80-105,35-60,60-60,65-65,60-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
blackrock elemental,,14,1175,7,Elemental,Demon,160.0,70-80,50-60,50-55,55-60,40-45,2350-2400,185-185,150-150,300-300,185-185,150-150,120-120,120-120,120-120,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
blackrock golem,,752,1175,7,None,None,Immune,60-85,65-75,40-50,80-95,60-75,50000-50000,90-125,90-160,500-560,90-125,90-160,110-140,110-140,150-190,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
blackthorn juggernaut,,768,0,7,None,None,82.2,65-75,35-45,35-45,15-25,10-20,180-240,50-70,50-100,300-400,50-70,50-100,90-100,90-100,140-150,90-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
blade spirit,,574,0,7,None,None,75.8,30-40,40-50,30-40,100-100,20-30,160-160,250-250,0-0,150-150,150-150,100-100,90-90,100-100,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
blood elemental,,159,0,4,Elemental-Blood Elemental,Demon,93.5,55-65,20-30,40-50,50-60,30-40,315-370,65-85,225-350,525-615,65-85,225-350,80-100,80-100,80-95,0-0,0-0,0-0,85-100,90-100,10-50,,,,,,,,,,,,,,,,
blood elemental,,159,0,4,Elemental-Blood Elemental,Demon,120,55-65,40-50,40-50,50-60,40-50,1350-1450,65-85,900-1000,525-615,65-85,225-350,110-120,100-120,110-120,0-0,0-0,0-0,85-100,110-120,130-140,,,,,,shame,,,,,,,,,,
blood fox,,1423,0,4,Wolf,None,95.5,55-65,25-35,55-65,25-35,25-35,192-207,150-150,187-222,298-324,187-204,187-222,50-55,70-90,80-100,0-0,0-0,0-0,80-90,85-90,85-95,72,,,,,,1075829-1157400,16-22,2-3,,,,,,,
bloodworm,,287,0,4,None,None,83.3,45-55,45-55,25-35,65-75,25-35,360-440,80-80,15-20,310-450,80-80,15-20,100-100,100-100,35-35,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
boar,,290,0,4,None,None,7.5,10-15,5-10,0-0,5-10,0-0,15-15,15-15,0-0,25-25,15-15,5-5,5-10,5-10,5-10,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,,,,3-6,1-3,,true,,,,,
bog thing,,780,0,4,None,None,86.1,30-40,20-25,10-15,40-50,20-25,480-540,45-65,0-0,800-900,45-65,35-50,65-80,70-85,90-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bogle,,153,0,4,Undead,Repond,41.5,25-30,0-0,20-30,5-10,10-20,45-60,75-95,35-60,75-100,75-95,35-60,45-55,45-60,45-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bogling,,779,0,4,None,None,61.5,20-25,10-20,15-25,15-25,15-25,55-75,90-115,20-45,95-120,90-115,20-45,55-75,55-80,75-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bone daemon,,308,0,7,Demon,Elemental-Fey,160,75-75,60-60,90-90,100-100,60-60,3600-3600,150-175,170-220,1000-1000,150-175,170-220,100-100,100-100,50-75,0-0,0-0,0-0,75-90,80-90,100-100,,,,,,,,,,,,,,,,
bone knight,,57,0,4,Undead,Repond,69.1,35-45,20-30,50-60,20-30,30-40,115-150,75-95,35-60,195-250,75-95,35-60,85-95,95-100,65-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bone mage,,148,0,4,Undead-Mage,Repond,71.4,35-40,20-30,50-60,20-30,30-40,45-60,55-75,185-210,75-100,55-75,185-210,45-55,45-60,55-70,0-0,0-0,0-0,60-70,65-70,0-0,,,,,,,,,,,,,,,,
bone swordslinger,,57,0,4,Undead,Repond,100,63-63,51-51,35-35,44-44,51-51,249-549,85-85,259-259,158-158,65-65,197-197,130-130,120.4-120.4,130-130,120.4-120.4,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bound soul,,970,0,7,Undead,Repond,95.5,85-95,35-45,30-40,65-75,25-40,550-650,125-140,60-80,160-180,125-140,60-80,100-110,100-110,100-110,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
brigand,IsBrigand,400-401,SkinHue,7,None,None,72.6,10-15,10-15,10-15,10-15,10-15,85-100,80-95,60-75,85-100,80-95,60-75,15-40,65-90,25-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
brigand cannibal,IsBrigandCannibal,400-401,SkinHue,7,None,None,?,60-70,60-70,60-70,60-70,60-70,1200-1300,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
brigand cannibal mage,IsCannibalMage,124,0,7,Repond-Mage,Undead,Immune,50-60,50-60,50-60,50-60,50-60,2000-2150,80-100,450-600,60-90,80-100,100-200,50-60,90-100,75-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bronze elemental,,108,0,4,Elemental,Demon,71.8,30-40,30-40,10-20,70-80,20-30,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
brown bear,,167,0,4,Bear,None,29.6,20-30,0-0,15-20,10-15,0-0,45-60,25-45,0-0,75-100,25-50,20-50,40-60,40-60,25-35,0-0,0-0,0-0,0-0,0-0,0-0,41.1,,,,,,,6-12,1-3,,true,,,,,
bulbous putrification,,775,1372,4,None,None,144.6,55-70,40-50,40-50,50-70,50-60,1220-1235,50-60,50-60,755-800,50-60,50-60,100-115,110-120,55-65,110-110,80-80,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
bull,,232-233,0-443-AnimalsHue,4,Bovine,None,35.8,25-30,0-0,10-15,0-0,0-0,50-65,55-75,0-0,75-115,55-75,45-75,40-60,65-85,15-25,0-0,0-0,0-0,0-0,0-0,0-0,71.1,,,,,,,4-9,1-4,,true,,,,,
bullfrog,,81,1452-1443-1434-1425-1416-1407-2201-2209-2212-2222,4,None,None,29.2,5-10,0-0,0-0,0-0,0-0,25-45,5-25,0-0,45-70,5-25,10-20,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,23.1,,,,,,,1-2,1-3,,,,,,,
burning,IsBurning,400-401,1281,7,Repond-Mage,Undead,?,50-60,50-60,50-60,50-60,50-60,24000-25000,0-0,600-800,100-125,0-0,0-0,110-130,100-120,125-140,0-0,0-0,0-0,120-130,120-130,0-0,,,,,,,,,,,,,,,,
cat,,201,AnimalsHue,4,None,None,6,5-10,0-0,0-0,0-0,0-0,5-10,35-35,0-0,5-10,35-35,5-5,5-5,0-0,5-5,0-0,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,1-1,1-3,,true,,,,,
cave troll,,53-54,674,4,Repond-Troll,Undead,130.0,75-80,50-60,70-80,70-80,50-60,2100-2250,50-65,45-75,100-150,50-65,45-75,120-140,120-140,90-100,0-40,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
cave troll the wall guardian,,53-54,674,4,Repond-Troll,Undead,90,55-65,45-55,45-55,35-45,35-45,630-1000,150-150,150-150,175-225,100-145,40-70,80-105,80-105,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
centaur,IsCentaur,101,0,4,Fey,Demon,79.7,45-55,35-45,25-35,45-55,35-45,130-175,100-260,90-100,200-300,100-260,90-100,95-100,90-100,50-80,95-115,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
challenger of ol'haven,,311,0,4,Undead,Repond,79.9,55-60,55-60,30-40,30-40,70-75,180-190,100-100,35-35,200-200,100-100,80-80,90-90,95-95,70-70,0-0,0-0,0-0,70-70,70-70,0-0,,,,,,,,,,,,,,,,
changeling,,264,0,4,None,None,97.6,80-90,40-50,40-50,40-50,40-50,200-215,210-265,315-400,35-105,210-265,315-400,10-15,10-20,120-135,0-0,0-0,0-0,90-100,95-100,90-100,,,,,,,,,,,,,,,,
chaos daemon,,792,0,4,Demon,Elemental-Fey,71.5,50-60,60-70,40-50,20-30,20-30,90-110,170-200,55-80,105-130,170-200,55-80,95-100,70-80,85-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
chaos dragoon,,400-401,SkinHue,7,None,None,83.8,45-55,15-25,50-50,25-35,25-35,175-225,80-95,60-85,175-225,80-95,60-85,0-0,75-90,75-100,75-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
chaos dragoon elite,,400-401,SkinHue,7,None,None,102.5,45-55,15-25,50-50,25-35,25-35,275-350,65-90,125-150,275-350,65-90,125-150,0-0,80-100,100-110,80-100,0-0,0-0,85-100,90-100,0-0,,,,,,,,,,,,,,,,
chaos vortex,,164,34212,7,Elemental-Air Elemental,Demon,160,65-75,65-75,65-75,65-75,65-75,18000-19000,250-250,0-0,450-450,200-200,100-100,125-140,115-130,100-110,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
charybdis,,1244,0,7,None,None,Immune,60-90,60-80,40-60,80-90,50-70,50000-50000,100-120,100-150,500-600,100-120,100-150,120-130,110-130,160-190,0-0,0-0,0-0,130-155,130-155,0-0,,,,true,,,,,,,,,,,,
chicken,,208,0,4,Bird,None,3.4,0-5,0-0,0-0,0-0,0-0,0-0,15-15,0-0,5-5,15-15,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,1-1,1-2,,true,,,,,
chicken lizard,,716,0,4,Reptile,Arachnid,36,15-20,5-15,0-0,0-0,0-0,75-90,75-95,5-10,70-100,75-95,5-10,25-40,30-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,0,,,,,,,2-5,1-1,,,,,,,
chief paroxysmus,,256,0,4,None,None,160,75-85,40-50,50-60,55-65,50-60,50000-50000,80-85,75-80,1235-1400,80-85,75-80,120-120,120-120,120-120,120-120,120-120,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
chiikkaha the toothed,,143,0,4,Repond-Vermin,Undead,79.3,40-45,10-20,10-20,10-20,70-80,450-480,155-180,250-275,450-480,155-180,250-275,50-75,50-75,65-90,0-0,0-0,0-0,70-0,70-80,0-0,,,,,,,,,,,,,,,,
clan chitter assistant,,142,0,4,Repond-Vermin,Undead,74,20-35,20-30,30-45,10-20,10-20,100-150,100-130,120-140,145-180,100-130,120-140,50-75,50-70,65-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan chitter tinkerer,,142,0,4,Repond-Vermin,Undead,160,20-30,20-30,35-50,10-20,10-20,2020-2070,225-240,250-270,290-350,225-240,250-270,60-85,60-85,75-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan ribbon courtier,,42,2207,4,Repond-Vermin,Undead,160,40-50,10-20,10-20,10-20,10-20,2070-2150,235-250,120-140,220-250,235-250,120-140,50-75,50-65,75-110,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan ribbon plague rat,,238,0,4,Repond-Vermin,Undead,31.5,30-40,20-30,40-50,0-0,30-45,55-75,45-65,0-0,40-70,45-65,15-30,30-45,30-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan ribbon supplicant,,42,2952,4,Repond-Vermin,Undead,78.3,50-60,30-50,60-75,30-50,25-30,100-140,100-130,185-210,150-180,100-130,185-210,50-75,50-70,70-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan scratch henchrat,,42,0,4,Repond-Vermin,Undead,155,25-30,20-30,30-50,10-20,10-20,2045-2110,165-200,70-115,240-250,165-200,70-115,50-65,50-65,35-60,50-70,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan scratch savage wolf,,98,44,4,Wolf,None,64.3,30-40,40-50,20-30,10-30,10-20,65-90,200-250,55-80,150-200,200-250,55-80,30-50,30-45,25-45,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clan scratch scrounger,,142,0,4,Repond-Vermin,Undead,65,25-30,20-30,35-45,10-20,10-20,115-155,80-95,35-60,90-120,80-95,35-60,55-70,55-75,35-60,50-75,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clay golem,,752,654,4,None,None,160,45-55,50-60,45-55,99-99,35-45,710-840,110-160,100-150,340-580,110-160,100-150,80-120,90-120,150-180,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
clockwork scorpion,,717,0,4,None,None,71.2,80-90,10-30,60-70,100-100,10-15,70-85,75-95,0-0,210-255,75-95,15-30,50-65,65-75,30-35,0-0,80-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
coil,,92,63,4,Reptile-Snake,Arachnid,146.1,55-60,25-30,25-30,100-100,25-30,1165-1170,360-365,125-130,335-340,360-365,125-130,130-135,135-140,110-115,130-135,115-120,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
cold drake,,60-61,BlueHue,4,Reptile-Dragon,Arachnid,105.9,55-65,30-40,75-90,45-60,40-50,461-500,129-150,301-360,605-670,134-152,151-190,115-130,116-140,95-110,0-0,0-0,0-0,0-0,0-0,0-0,96,,,,,,1157414,17-20,3-5,,,,,,,
controller,IsController,400-401,1109,7,None,None,81.3,30-40,25-35,35-45,5-15,15-25,75-90,95-120,150-175,125-150,95-120,150-175,65-90,65-90,100-125,0-0,0-0,0-0,95-100,95-100,95-100,,,,,,,,,,,,,,,,
copper elemental,,109,0,4,Elemental,Demon,73.3,30-40,30-40,30-40,20-30,10-20,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
cora the sorceress,,401,SkinHue,7,None,None,?,50-70,50-70,50-70,50-70,50-70,24000-25000,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
